Direcciones,Latitud,Longitud,Nro Radicado
Calle 81 Sur Carrera 60 LA ESTRELLA,6.1571556,-75.6431767,12065
Carrera 50 Calle 96A Sur LA ESTRELLA,6.1441505,-75.6334228,12075
Carrera 55 Calle 82 Sur LA ESTRELLA,6.154834,-75.6381454,12085
Carrera 60 Calle 83A Sur LA ESTRELLA,6.1555194,-75.6436248,12086
Calle 79 Sur Carrera 59 LA ESTRELLA,6.1584664,-75.6417332,12088
Carrera 56D Calle 80 Sur LA ESTRELLA,6.1565434,-75.6396832,12090
Carrera 59 Calle 82 Sur LA ESTRELLA,6.1560332,-75.6425958,12092
Carrera 50 Calle 100B Sur LA ESTRELLA,6.1187752,-75.6344243,12094
Carrera 62 Calle 87 Sur LA ESTRELLA,6.1528829,-75.646854,12111
Carrera 54 Calle 75AA LA ESTRELLA,6.1629835,-75.6354762,12125
Carrera 48 Calle 100 LA ESTRELLA,6.1196971,-75.6315951,12129
Carrera 55 Calle 79 LA ESTRELLA,6.1569697,-75.6355586,12130
Carrera 55 Calle 83B Sur LA ESTRELLA,6.1525715,-75.6363277,12131
Carrera 50 Calle 98A Sur LA ESTRELLA,6.1721663,-75.6089299,12132
Carrera 50 Calle 100 Sur LA ESTRELLA,6.1194097,-75.6344227,12133
Carrera 50 Calle 79 Sur LA ESTRELLA,6.1539353,-75.6289665,12135
Carrera 50 Calle 96B Sur LA ESTRELLA,6.1349499,-75.6344472,12136
Carrera 66 Calle 74 Sur LA ESTRELLA,6.1642968,-75.6509726,12138
Carrera 50 Calle 91 Sur LA ESTRELLA,6.1441505,-75.6334228,12139
Calle 95 Sur Carrera 60 LA ESTRELLA,6.1381026,-75.6435726,12140
Calle 75AA Sur Carrera 62 LA ESTRELLA,6.1623981,-75.6449247,12141
Carrera 55 Calle 77 Sur LA ESTRELLA,6.1604047,-75.6372673,11072
Carrera 50 Calle 79C Sur LA ESTRELLA,6.1529569,-75.6318012,11073
Carrera 54 Calle 77 Sur LA ESTRELLA,6.1604655,-75.6368848,11074
Carrera 50 Calle 100 Sur LA ESTRELLA,6.1194097,-75.6344227,11075
Carrera 48 Calle 100 Sur LA ESTRELLA,6.1168976,-75.6303266,11118
Carrera 48 Calle 100 Sur LA ESTRELLA,6.1168976,-75.6303266,11119
Carrera 50 Calle 98 Sur LA ESTRELLA,6.1283022,-75.6327344,11125
Calle 77 Sur Carrera 53 LA ESTRELLA,6.15992,-75.6322728,11127
Calle 77 Sur Carrera 51 LA ESTRELLA,6.1572844,-75.6269373,11132
Calle 86 Sur Carrera 63 LA ESTRELLA,6.15384,-75.6469285,11136
Carrera 50 Calle 88 Sur LA ESTRELLA,6.1481678,-75.6361426,11137
Carrera 50 Calle 91 Sur LA ESTRELLA,6.1441505,-75.6334228,11138
Carrera 50 Calle 77 Sur LA ESTRELLA,6.154535,-75.626803,11139
Carrera 50 Calle 79 Sur LA ESTRELLA,6.1539353,-75.6289665,11140
Calle 80 Sur Carrera 50 LA ESTRELLA,6.1523941,-75.6336115,11141
Carrera 57A Calle 76B Sur LA ESTRELLA,6.1610997,-75.6397694,11142
Calle 94B Sur Carrera 50 LA ESTRELLA,6.1371836,-75.6344714,11143
Calle 74 Sur Carrera 54 LA ESTRELLA,6.1645847,-75.6433602,11144
Carrera 50 Calle 83C Sur LA ESTRELLA,6.1504236,-75.6360396,11145
Calle 79 Sur Carrera 55 LA ESTRELLA,6.1569697,-75.6355586,11147
Calle 80 Sur Carrera 56 LA ESTRELLA,6.1554568,-75.6382,11158
Calle 80 Sur Carrera 57A LA ESTRELLA,6.1569665,-75.6404666,11159
Carrera 50 Calle 88 Sur LA ESTRELLA,6.1481678,-75.6361426,11180
Carrera 50 Calle 100B Sur LA ESTRELLA,6.1187752,-75.6344243,11181
Carrera 63 Calle 82 Sur LA ESTRELLA,6.1570987,-75.6457615,11182
Carrera 50 Calle 79C Sur LA ESTRELLA,6.1529569,-75.6318012,11183
Calle 100 Sur Carrera 48 LA ESTRELLA,6.1196971,-75.6315951,11184
Calle 77 Sur Carrera 59B LA ESTRELLA,6.1595338,-75.6421407,11185
Carrera 503 Calle 95 Sur LA ESTRELLA,6.13702,-75.6383099,11186
Calle 100 Sur Carrera 48 Sur LA ESTRELLA,6.1196971,-75.6315951,11190
Calle 80 Sur Carrera 59 LA ESTRELLA,6.1576307,-75.6419947,11191
Calle 81 Carrera 65 LA ESTRELLA,6.1584728,-75.6467108,11192
Carrera 52 Calle 75AB Sur LA ESTRELLA,6.1605836,-75.6292076,11206
Carrera 62 Calle 87 Sur LA ESTRELLA,6.1528829,-75.646854,11209
Carrera 50 Calle 94 Sur LA ESTRELLA,6.145127,-75.6335377,11210
Carrera 62 Calle 86 Sur LA ESTRELLA,6.153588,-75.6464351,11211
Carrera 54 Calle 80 Sur LA ESTRELLA,6.153988,-75.6350659,11212
Calle 77 Sur Carrera 57 LA ESTRELLA,6.1600369,-75.6395242,11213
Carrera 50 Calle 88 Sur LA ESTRELLA,6.1481678,-75.6361426,11214
Calle 83C Sur Carrera 50 LA ESTRELLA,6.1504236,-75.6360396,11215
